frame,x_px,y_px,angle_raw_rad,angle_unwrap_rad, omega
322,408.75,151.195,1.89963,8.18282,1.19034
323,404.635,152.686,1.91947,8.20266,1.26205
324,400.287,154.306,1.94051,8.22369,1.1511
325,396.359,155.88,1.95969,8.24288,1.3482
326,391.794,157.811,1.98216,8.26535,1.2105
327,387.844,159.873,2.00234,8.28552,1.13723
328,383.827,161.159,2.02129,8.30448,1.21488
329,379.827,163.159,2.04154,8.32473,1.0944
330,376.305,165.115,2.05978,8.34297,1.21432
331,372.305,167.115,2.08002,8.3632,1.1393
332,368.634,169.146,2.09901,8.38219,1.08
333,365.182,171.124,2.11701,8.40019,1.16638
334,361.835,173.869,2.13645,8.41963,1.09235
335,358.376,175.914,2.15465,8.43784,1.06
336,355.223,178.208,2.17232,8.4555,1.08319
337,351.796,180.258,2.19037,8.47356,1.07776
338,348.644,182.665,2.20833,8.49152,0.939349
339,345.83,184.673,2.22399,8.50718,1.0841
340,342.724,187.176,2.24206,8.52524,1.07422
341,339.816,189.86,2.25996,8.54315,1.00047
342,336.693,191.862,2.27664,8.55982,0.95724
343,334.287,194.464,2.29259,8.57578,1.08403
344,331.046,196.822,2.31066,8.59384,0.906395
345,328.709,199.21,2.32576,8.60895,0.977325
346,326.29,201.88,2.34205,8.62524,0.948423
347,323.836,204.355,2.35786,8.64105,0.971927
348,321.113,206.691,2.37406,8.65724,0.948323
349,318.677,209.19,2.38986,8.67305,0.894055
350,316.689,211.83,2.40477,8.68795,0.945841
351,314.308,214.365,2.42053,8.70371,0.840906
352,312.371,216.777,2.43454,8.71773,0.860102
353,310.304,219.168,2.44888,8.73206,0.924343
354,308.265,221.888,2.46429,8.74747,0.844406
355,306.336,224.316,2.47836,8.76154,0.8527
356,304.348,226.74,2.49257,8.77576,0.859604
357,302.338,229.182,2.5069,8.79008,0.92255
358,300.295,231.891,2.52227,8.80546,0.795792
359,298.666,234.324,2.53554,8.81872,0.837956
360,296.661,236.688,2.5495,8.83269,0.777759
361,295.284,239.21,2.56246,8.84565,0.810371
362,293.812,241.806,2.57597,8.85916,0.952154
363,291.843,244.704,2.59184,8.87503,0.759018
364,290.397,247.092,2.60449,8.88768,0.871761
365,288.697,249.812,2.61902,8.90221,0.772143
366,287.219,252.241,2.63189,8.91507,0.756996
367,285.925,254.709,2.64451,8.92769,0.901981
368,284.697,257.812,2.65954,8.94272,0.795028
369,283.161,260.309,2.67279,8.95597,0.748872
370,281.821,262.719,2.68527,8.96846,0.899707
371,280.703,265.852,2.70027,8.98345,0.782788
372,279.161,268.309,2.71331,8.9965,0.710247
373,278.246,270.761,2.72515,9.00833,0.935827
374,276.714,273.849,2.74075,9.02393,0.688591
375,275.793,276.21,2.75222,9.03541,0.75812
376,274.672,278.766,2.76486,9.04804,0.867247
377,273.805,281.85,2.77931,9.0625,0.708979
378,272.669,284.209,2.79113,9.07431,0.835319
379,271.786,287.156,2.80505,9.08824,0.892243
380,270.663,290.24,2.81992,9.10311,0.70422
381,269.842,292.696,2.83166,9.11484,0.917402
382,268.71,295.878,2.84695,9.13013,0.763596
383,268.353,298.7,2.85968,9.14286,0.740879
384,267.195,301.203,2.87202,9.15521,0.838505
385,266.649,304.249,2.886,9.16918,0.831008
386,265.777,307.18,2.89985,9.18303,0.871273
387,265.132,310.319,2.91437,9.19755,0.8124
388,264.279,313.189,2.92791,9.21109,0.829085
389,263.792,316.203,2.94173,9.22491,0.822419
390,263.187,319.166,2.95543,9.23862,0.856527
391,262.646,322.268,2.96971,9.2529,0.972262
392,262.259,325.826,2.98591,9.2691,0.80292
393,261.724,328.729,2.9993,9.28248,0.851992
394,261.09,331.804,3.0135,9.29668,0.92573
395,260.721,335.189,3.02893,9.31211,0.829723
396,260.655,338.249,3.04275,9.32594,0.984843
397,260.286,341.849,3.05917,9.34235,0.806012
398,259.815,344.785,3.0726,9.35579,0.951709
399,259.779,348.289,3.08846,9.37165,0.970934
400,259.782,351.86,3.10465,9.38783,0.904771
401,259.79,355.184,3.11972,9.40291,0.980984
402,259.815,358.785,3.13607,9.41926,0.938572
403,259.778,362.23,-3.13147,9.4349,0.988622
404,259.798,365.859,-3.11499,9.45138,0.904697
405,259.79,369.184,-3.09991,9.46646,0.979173
406,259.815,372.785,-3.08359,9.48278,0.958895
407,260.331,376.281,-3.06761,9.49876,1.08501
408,260.331,380.281,-3.04953,9.51684,0.976007
409,260.714,383.849,-3.03326,9.53311,1.09373
410,261.297,387.828,-3.01503,9.55134,0.915891
411,261.797,391.156,-2.99977,9.5666,1.11845
412,262.39,395.222,-2.98113,9.58524,1.10402
413,263.23,399.192,-2.96273,9.60364,1.0884
414,263.796,403.153,-2.94459,9.62178,1.11919
415,264.74,407.156,-2.92593,9.64044,1.13009
416,265.733,411.186,-2.9071,9.65927,1.10874
417,266.734,415.132,-2.88862,9.67775,1.12321
418,267.747,419.13,-2.8699,9.69647,1.11477
419,268.72,423.111,-2.85132,9.71505,1.18543
420,270.351,427.163,-2.83156,9.73481,1.15232
421,271.775,431.145,-2.81236,9.75401,1.33998
422,273.162,435.87,-2.79002,9.77635,1.15592
423,274.713,439.82,-2.77076,9.79561,1.18053
424,276.36,443.828,-2.75108,9.81529,1.30952
425,278.247,448.249,-2.72926,9.83711,1.21801
426,280.247,452.249,-2.70896,9.85741,1.35249
427,282.314,456.758,-2.68642,9.87995,1.21915
428,284.314,460.758,-2.6661,9.90027,1.21856
429,286.314,464.758,-2.64579,9.92058,1.35942
430,288.76,469.107,-2.62313,9.94324,1.28445
431,291.206,473.135,-2.60172,9.96465,1.46153
432,293.804,477.835,-2.57736,9.98901,1.35218
433,296.7,481.872,-2.55483,10.0115,1.48157
434,299.825,486.319,-2.53014,10.0362,1.29586
435,302.338,490.37,-2.50854,10.0578,1.4263
436,305.807,494.309,-2.48477,10.0816,1.33965
437,308.671,498.308,-2.46244,10.1039,1.44727
438,312.215,502.265,-2.43832,10.1281,1.45807
439,315.791,506.238,-2.41402,10.1524,1.43218
440,319.2,510.236,-2.39015,10.1762,1.5564
441,323.234,514.274,-2.36421,10.2022,1.54283
442,327.251,518.255,-2.33849,10.2279,1.44523
443,331.159,521.832,-2.31441,10.252,1.54034
444,335.159,525.832,-2.28873,10.2776,1.55448
445,339.836,529.126,-2.26282,10.3035,1.55366
446,344.301,532.649,-2.23693,10.3294,1.5415
447,348.626,536.285,-2.21124,10.3551,1.58097
448,353.209,539.838,-2.18489,10.3815,1.66273
449,358.341,543.132,-2.15718,10.4092,1.57331
450,363.204,546.227,-2.13096,10.4354,1.57741
451,368.213,549.109,-2.10467,10.4617,1.74042
452,373.738,552.284,-2.07566,10.4907,1.54219
453,378.613,555.146,-2.04996,10.5164,1.7073
454,384.297,557.765,-2.0215,10.5449,1.64798
455,389.775,560.295,-1.99403,10.5723,1.76213
456,395.778,562.658,-1.96466,10.6017,1.62315
457,401.186,565.134,-1.93761,10.6288,1.73574
458,407.185,567.237,-1.90868,10.6577,1.72573
459,413.185,569.214,-1.87992,10.6864,1.72878
460,419.213,571.146,-1.85111,10.7153,1.85938
461,425.846,572.684,-1.82012,10.7463,1.67743
462,431.769,574.311,-1.79216,10.7742,1.8279
463,438.286,575.849,-1.7617,10.8047,1.74257
464,444.624,576.65,-1.73265,10.8337,1.81609
465,451.171,577.815,-1.70239,10.864,1.8143
466,457.805,578.24,-1.67215,10.8942,1.79579
467,464.356,578.665,-1.64222,10.9242,1.74805
468,470.727,579.152,-1.61308,10.9533,1.78269
469,477.244,579.179,-1.58337,10.983,1.94149
470,484.335,579.115,-1.55101,11.0154,1.75252
471,490.744,579.132,-1.5218,11.0446,1.94841
472,497.853,578.67,-1.48933,11.077,1.76277
473,504.283,578.176,-1.45995,11.1064,1.91551
474,511.212,577.127,-1.42803,11.1383,1.8228
475,517.816,576.216,-1.39765,11.1687,1.78146
476,524.13,574.57,-1.36796,11.1984,1.97092
477,531.187,573.144,-1.33511,11.2313,1.8322
478,537.752,571.779,-1.30457,11.2618,1.86325
479,544.269,569.782,-1.27352,11.2929,1.95099
480,551.127,567.794,-1.241,11.3254,1.97569
481,557.858,565.149,-1.20807,11.3583,1.74078
482,563.756,562.756,-1.17906,11.3873,1.94569
483,570.26,559.876,-1.14663,11.4197,1.95112
484,576.665,556.742,-1.11411,11.4523,1.82739
485,582.692,553.859,-1.08365,11.4827,1.88986
486,588.651,550.364,-1.05216,11.5142,1.92755
487,594.642,546.666,-1.02003,11.5463,1.90352
488,600.667,543.18,-0.988306,11.5781,1.91696
489,606.388,539.134,-0.956357,11.61,1.96374
490,612.366,535.146,-0.923628,11.6427,1.91875
491,617.8,530.702,-0.891648,11.6747,1.81445
492,622.68,526.203,-0.861408,11.705,1.94462
493,628.302,521.832,-0.828997,11.7374,1.93294
